id,GBSA-Evdw,GBSA-Eele,GBSA-GGB,GBSA-GSA,MM/GBSA,VDW,HB,HP,HM,HS,RT,X-Score,-logka,deltaGexp,charge,C,N,O,F,P,S,Cl,Br,I,heavy atoms,H
10gs,1917.0176,-143.6091,364.1823,-3.0148,2134.576,606.8,6.3,78.2,4.22,188.8,11.0,6.47,6.4,-8.704,-1,23,3,6,0,0,1,0,0,0,33,26
184l,-30.8307,-1.2961,7.4737,-3.9314,-28.5845,323.9,0.0,150.6,3.16,277.8,2.0,5.81,4.72,-6.4192,0,10,0,0,0,0,0,0,0,0,10,14
185l,-23.745,-5.6067,13.4309,-2.9954,-18.9162,289.5,0.0,91.5,1.78,150.2,0.0,5.31,3.54,-4.8144,0,8,1,0,0,0,0,0,0,0,9,7
186l,-30.5845,-2.243,8.4168,-3.9952,-28.4059,331.1,0.0,152.2,3.22,272.8,3.0,5.76,4.85,-6.596,0,10,0,0,0,0,0,0,0,0,10,14
187l,-23.6017,-0.9643,6.2192,-3.1483,-21.4951,262.5,0.0,121.6,2.47,252.3,0.0,5.52,3.37,-4.5832,0,8,0,0,0,0,0,0,0,0,8,10
188l,-24.1878,-1.2258,6.3384,-3.0955,-22.1707,259.1,0.0,113.9,2.47,247.1,0.0,5.47,3.33,-4.5288,0,8,0,0,0,0,0,0,0,0,8,10
1a28,-57.7863,-17.1744,26.9832,-6.2161,-54.1936,644.3,0.0,196.2,4.04,364.7,1.0,7.54,8.29,-11.2744,0,21,0,2,0,0,0,0,0,0,23,30
1a4k,-51.3093,-229.0847,243.4669,-4.8438,-41.7709,577.0,0.4,80.8,2.23,252.0,4.0,6.32,8.0,-10.88,-1,21,3,7,0,0,0,0,0,0,31,22
1a4r,-41.8032,-199.2722,159.716,-4.7338,-86.0932,553.6,5.4,0.0,0.0,0.0,6.0,5.57,6.66,-9.0576,-2,10,6,10,0,2,0,0,0,0,28,14
1a4w,-58.1051,-128.7482,143.5673,-7.4329,-50.7189,737.5,3.3,87.7,3.65,178.5,9.0,6.87,5.92,-8.0512,1,29,7,4,0,0,2,0,0,0,42,40
1a69,-39.5757,-94.1201,86.6913,-4.5996,-51.6041,510.4,4.1,0.0,0.0,0.0,2.0,5.64,5.3,-7.208,0,10,4,5,0,0,0,0,0,0,19,12
1a94,772.328,-243.6093,390.7471,-7.0565,912.4093,1081.2,8.0,134.7,6.12,449.7,23.0,8.27,7.85,-10.676,1,40,11,9,0,0,0,0,0,0,60,68
1a99,-16.2229,-710.0659,674.9484,-3.1535,-54.4939,245.2,3.2,43.7,0.72,48.8,3.0,4.71,5.7,-7.752,2,4,2,0,0,0,0,0,0,0,6,14
1a9m,-84.7099,-47.8172,72.6562,-10.689,-70.5599,895.0,3.5,108.3,3.37,386.9,15.0,7.32,6.92,-9.4112,1,28,8,6,0,0,0,0,0,0,42,53
1a9q,-22.7953,-29.7413,36.3595,-2.6911,-18.8682,274.5,1.4,0.0,0.0,0.0,0.0,4.65,6.17,-8.3912,0,5,4,1,0,0,0,0,0,0,10,4
1aaq,-61.7891,-123.4167,116.9839,-9.4411,-77.663,812.2,6.4,103.4,5.28,412.9,14.0,7.57,8.4,-11.424,1,29,5,7,0,0,0,0,0,0,41,48
1add,-26.9888,-171.174,123.1531,-4.9018,-79.9115,548.6,3.3,9.8,0.0,25.4,2.0,5.79,6.74,-9.1664,0,11,4,4,0,0,0,0,0,0,19,14
1adl,-42.5163,-158.8709,162.0938,-6.5863,-45.8797,469.5,1.8,124.7,5.69,349.0,14.0,5.88,5.36,-7.2896,-1,20,0,2,0,0,0,0,0,0,22,31
1ado,-10.2972,-512.8965,497.5852,-2.7254,-28.3339,222.5,2.9,0.0,0.0,0.0,3.0,4.31,6.0,-8.16,-2,3,0,6,0,1,0,0,0,0,10,5
1ai4,-20.9239,-59.9575,49.2538,-3.5379,-35.1655,320.0,1.3,52.6,1.31,103.9,2.0,5.13,2.5,-3.4,-1,8,0,4,0,0,0,0,0,0,12,7
1ai7,-18.5657,-9.9567,15.7021,-2.5268,-15.3471,240.3,0.0,64.4,1.69,148.8,0.0,5.02,4.09,-5.5624,0,6,0,1,0,0,0,0,0,0,7,6
1aid,-40.0871,-26.1175,41.467,-5.3127,-30.0503,480.7,0.0,109.8,5.89,301.4,6.0,6.36,4.82,-6.5552,1,23,1,1,1,0,2,1,0,0,29,28
1ajp,-21.7109,-59.7944,44.7667,-3.3842,-40.1228,314.6,0.8,47.0,1.31,101.9,2.0,5.05,2.23,-3.0328,-1,8,0,4,0,0,0,0,0,0,12,7
1ajq,-20.6492,-44.3753,34.6582,-3.0284,-33.3947,284.2,2.5,51.7,0.53,139.1,2.0,5.01,4.31,-5.8616,-1,6,0,2,0,0,1,0,0,0,9,5
1ajv,-76.5159,-72.1792,80.9154,-9.3187,-77.0984,983.1,3.5,166.4,6.32,445.6,10.0,8.72,7.72,-10.4992,0,32,2,6,0,0,1,0,0,0,41,34
