id,GBSA-Evdw,GBSA-Eele,GBSA-GGB,GBSA-GSA,MM/GBSA,VDW,HB,HP,HM,HS,RT,X-Score,-logka,deltaGexp,charge,C,N,O,F,P,S,Cl,Br,I,heavy atoms,H
1a30,-35.4241,-242.4294,255.9322,-5.1975,-27.1188,535.3,5.4,47.2,1.54,164.6,10,5.73,4.3,-5.8480,-2,15,3,8,0,0,0,0,0,0,26,23
1bcu,-29.6093,-35.6257,42.6512,-3.1125,-25.6963,384.9,0.6,30.3,0,159.1,0,5.33,3.28,-4.4608,0,13,3,0,0,0,0,0,0,0,16,11
1bzc,-41.3753,-387.9343,346.0465,-5.8119,-89.075,599.9,6.6,108,2.87,130.3,5,6.8,4.92,-6.6912,-3,17,2,7,2,1,0,0,0,0,29,14
1c5z,-19.7982,-106.5548,92.1904,-2.8244,-36.987,296.5,2.9,23.2,0,120.8,0,5.08,4.01,-5.4536,1,7,2,0,0,0,0,0,0,0,9,9
1e66,-52.2129,-3.8411,26.1218,-4.7915,-34.7237,629.9,0,147.7,2.79,357.8,1,7.16,9.89,-13.4504,0,18,2,0,0,0,0,1,0,0,21,19
1eby,-83.249,-94.876,96.5848,-10.8492,-92.3894,1112.9,4.7,195.5,6.58,452.4,11,9.38,9.7,-13.1920,0,38,2,8,0,0,0,0,0,0,48,40
1g2k,-75.2262,-79.7009,87.3591,-9.1881,-76.7561,988.8,4.7,150.4,6.62,408,10,8.78,7.96,-10.8256,0,34,3,7,0,0,1,0,0,0,45,37
1gpk,-37.2207,-279.5674,280.6743,-4.3032,-40.417,501.8,1.8,86.9,1.52,281.8,0,6.42,5.37,-7.3032,1,15,2,1,0,0,0,0,0,0,18,19
1gpn,-41.1992,-273.9536,293.008,-4.5636,-26.7084,528.1,1,90.4,1.17,253.2,0,6.39,6.48,-8.8128,1,16,2,1,0,0,0,0,0,0,19,21
1h22,-65.2056,-593.1276,596.4067,-7.5676,-69.4941,823.8,1.9,177.3,4.32,374.2,13,7.4,9.1,-12.3760,2,28,4,2,0,0,0,0,0,0,34,44
