id,GBSA-Evdw,GBSA-Eele,GBSA-GGB,GBSA-GSA,MM/GBSA,VDW,HB,HP,HM,HS,RT,X-Score,-logka,deltaGexp,charge,C,N,O,F,P,S,Cl,Br,I,heavy atoms,H
5g5v,-64.8513,-22.1911,50.1681,-7.8034,-44.6777,734.8,0.5,161.1,4.79,342.7,2.0,7.82,6.7,-9.112,0,29,3,4,0,0,0,0,0,0,36,33
5l8y,-75.1909,-34.9278,71.187,-9.369,-48.3007,811.0,0.9,184.6,6.16,306.5,6.0,8.02,6.4,-8.704,0,33,4,5,0,0,0,0,0,0,42,40
5laq,-70.8262,-10.9638,61.4532,-7.5921,-27.9289,772.7,1.6,161.1,5.94,293.1,9.0,7.56,9.2,-12.512,0,33,6,4,0,0,0,0,0,0,43,40
5mnn,-23.9009,-5.906,2.3864,-2.9377,-30.3582,295.2,3.5,13.3,0.0,91.6,0.0,5.05,3.84,-5.2224,1,6,3,0,0,0,0,0,0,0,9,14
5mpk,-45.5843,-12.0868,28.9559,-5.6351,-34.3503,525.3,1.4,90.7,3.62,200.2,2.0,6.49,8.52,-11.5872,0,21,6,3,0,0,1,0,0,0,31,18
5mpn,-37.1033,-21.9405,31.8123,-4.4499,-31.6814,390.3,1.8,88.4,4.34,181.7,2.0,6.04,7.07,-9.6152,0,17,4,2,0,0,0,0,0,0,23,16
5msb,-34.6089,-40.0431,50.3408,-4.9471,-29.2583,420.0,2.5,0.0,0.0,0.0,4.0,4.98,7.46,-10.1456,0,8,1,5,4,0,2,0,0,0,20,7
5mwh,-46.8827,-7.6823,27.2485,-5.3753,-32.6918,527.0,1.0,61.7,3.5,79.8,3.0,6.13,5.74,-7.8064,0,24,4,5,0,0,1,0,0,0,34,30
5mwp,-61.5864,-51.111,56.0264,-7.5045,-64.1755,748.5,3.3,87.7,2.32,141.4,2.0,7.28,7.5,-10.2,0,20,3,5,1,0,0,0,0,0,29,18
5mwy,-65.5601,-35.3074,48.2226,-7.1966,-59.8415,790.3,0.4,172.4,3.29,295.9,2.0,7.81,7.0,-9.52,0,24,0,6,0,0,0,0,0,0,30,30
5nap,-54.4546,-285.3782,306.6787,-5.9438,-39.0979,662.7,0.0,149.8,3.23,233.4,6.0,6.78,7.95,-10.812,1,24,1,3,0,0,0,0,0,0,28,28
5nau,-50.4014,-289.2631,308.3273,-5.6172,-36.9544,631.5,0.0,159.0,3.57,254.8,5.0,6.83,7.52,-10.2272,1,23,1,2,0,0,0,0,0,0,26,26
5nw7,-16.3919,-130.5145,70.823,-5.4319,-81.5153,417.1,10.9,0.0,0.0,0.0,5.0,5.53,5.77,-7.8472,-1,5,2,8,0,1,0,0,0,0,16,12
5nwe,-28.1969,-223.1135,195.5248,-5.4951,-61.2807,411.9,5.8,29.1,1.32,223.2,4.0,5.76,4.88,-6.6368,0,14,2,4,0,0,0,0,0,0,20,24
5nxi,-31.8033,-29.0725,40.5508,-4.3559,-24.6809,377.4,2.5,59.0,3.2,149.3,2.0,5.77,6.66,-9.0576,0,12,2,4,0,0,2,0,1,0,21,11
5nxp,-11.2117,-143.7182,104.2082,-4.5401,-55.2618,406.0,2.7,64.2,2.7,143.1,3.0,5.75,7.99,-10.8664,0,15,3,3,0,0,1,0,0,0,22,17
5nya,-1.4324,-137.9492,71.8731,-3.1126,-70.6211,254.2,2.7,39.5,1.35,113.7,1.0,5.03,6.38,-8.6768,0,6,1,2,0,0,1,0,0,0,10,7
5nyh,-58.9827,-15.2535,38.3464,-6.1267,-42.0165,698.3,2.5,82.0,2.32,150.5,0.0,7.18,7.73,-10.5128,0,24,5,4,0,0,0,0,0,0,33,27
5nz4,-31.8193,-212.247,189.6596,-5.5972,-60.0039,425.3,6.1,31.9,1.06,243.4,4.0,5.83,6.28,-8.5408,0,14,2,4,0,0,0,0,0,0,20,24
5nze,-31.306,-230.0596,205.9312,-5.6878,-61.1222,433.0,5.9,37.9,1.32,251.2,4.0,5.91,6.39,-8.6904,0,14,2,4,0,0,0,0,0,0,20,24
5nzf,-29.0865,-206.1281,184.7834,-5.4834,-55.9146,417.0,6.0,27.2,1.06,220.5,4.0,5.75,4.03,-5.4808,0,14,2,4,0,0,0,0,0,0,20,24
5nzn,-32.1826,-199.8806,181.7071,-5.6131,-55.9692,423.9,5.8,33.0,1.32,225.3,4.0,5.82,3.66,-4.9776,0,14,2,4,0,0,0,0,0,0,20,24
5o1d,-41.7054,-12.7662,21.4115,-4.8075,-37.8676,497.8,1.0,57.3,2.54,236.2,3.0,6.08,4.66,-6.3376,-1,14,1,4,0,0,0,0,0,1,20,13
5o1f,-42.3069,-11.5394,18.6877,-4.9575,-40.1161,523.9,0.8,61.0,2.54,250.6,4.0,6.12,4.52,-6.1472,-1,15,1,4,0,0,0,0,0,1,21,15
5o1h,-42.6962,-10.915,18.7955,-4.7664,-39.5821,501.6,1.0,64.6,2.8,241.7,3.0,6.16,4.85,-6.596,-1,14,1,3,0,0,1,0,0,1,20,13
5o5a,-39.4992,-33.047,44.2341,-4.8085,-33.1206,507.4,1.9,65.5,2.52,127.3,3.0,6.06,4.77,-6.4872,0,22,5,3,0,0,0,0,0,0,30,21
5o9o,-65.8384,-84.3129,94.9998,-8.7038,-63.8553,826.1,6.4,26.7,3.25,45.8,12.0,6.8,4.89,-6.6504,0,32,3,16,0,0,0,0,0,0,51,43
5o9p,-65.7125,-60.4226,89.3258,-8.1713,-44.9806,838.2,5.1,17.7,1.01,36.4,12.0,6.42,5.09,-6.9224,0,27,4,16,0,0,0,0,0,0,47,40
5o9q,-64.0673,-2.4451,64.2534,-7.691,-9.95,785.3,6.6,20.2,1.98,34.5,12.0,6.46,5.21,-7.0856,0,28,3,16,0,0,0,0,0,0,47,41
5o9r,-64.2185,-27.2653,68.2376,-7.8226,-31.0688,752.3,5.7,8.2,0.53,38.8,12.0,6.04,5.39,-7.3304,0,26,3,16,0,0,1,0,0,0,46,39
5o9y,-64.3626,-59.5975,85.3806,-8.2203,-46.7998,826.6,6.8,33.7,1.1,59.4,12.0,6.6,5.34,-7.2624,0,28,4,15,0,0,0,0,0,0,47,44
5oa6,-68.5346,-25.7165,80.9837,-8.4315,-21.6989,862.9,5.6,46.3,2.47,98.1,12.0,6.92,5.51,-7.4936,0,32,4,15,0,0,0,0,0,0,51,46
5odx,-64.4626,-29.4612,51.7046,-6.7448,-48.964,735.8,3.0,70.3,2.32,127.4,1.0,7.21,6.71,-9.1256,0,26,5,5,0,0,0,0,0,0,36,31
5oh2,-19.0434,-19.2143,14.333,-1.8431,-25.7678,226.7,2.9,38.3,0.36,77.7,0.0,4.84,4.24,-5.7664,0,4,1,1,0,0,0,0,0,0,6,7
5oh3,-27.5256,-20.6425,20.3666,-2.554,-30.3555,330.9,2.6,69.2,1.41,148.9,1.0,5.47,3.87,-5.2632,0,7,1,2,0,0,0,0,0,0,10,11
5oh4,-22.6525,-21.1536,18.1606,-2.1992,-27.8447,279.9,3.0,50.8,0.36,107.6,0.0,5.13,4.55,-6.188,0,5,1,2,0,0,0,0,0,0,8,7
5oh7,-20.9987,-22.6832,20.7762,-1.9054,-24.8111,245.6,2.8,0.0,0.0,0.0,0.0,4.64,4.37,-5.9432,0,3,2,2,0,0,0,0,0,0,7,4
5oh9,-21.3093,-26.7128,23.2954,-2.0214,-26.7481,247.1,2.8,17.7,0.25,45.8,0.0,4.79,3.86,-5.2496,0,3,1,2,0,0,1,0,0,0,7,3
5oha,-21.5613,-19.7775,19.5089,-1.9371,-23.767,249.5,2.8,12.1,0.42,84.7,0.0,4.86,4.89,-6.6504,0,3,2,1,0,0,1,0,0,0,7,4
5om2,-36.1945,-303.7884,287.2047,-4.4833,-57.2615,625.3,2.1,135.4,2.28,147.8,1.0,6.92,4.06,-5.5216,1,22,2,8,0,0,0,0,0,0,32,25
5om3,-35.7619,-270.5622,249.493,-4.5349,-61.366,614.6,2.1,132.3,2.27,144.8,2.0,6.78,4.1,-5.576,1,22,2,8,0,0,0,0,0,0,32,27
5om7,-57.9625,-272.6884,286.2558,-5.9537,-50.3488,766.6,2.6,128.7,3.67,125.7,5.0,7.32,5.74,-7.8064,1,27,1,11,0,0,0,0,0,0,39,30
5oqu,-38.0384,-27.2077,30.8618,-5.0538,-39.4381,489.6,0.4,128.3,3.91,200.1,2.0,6.42,3.61,-4.9096,1,14,1,1,0,0,0,1,0,0,17,15
5orh,-28.9556,-105.4385,109.9588,-3.2818,-27.7171,374.3,0.3,83.3,2.49,216.8,1.0,5.74,4.39,-5.9704,1,14,1,0,0,0,0,1,0,0,16,15
5orj,-38.8737,39.564,-33.6277,-5.2154,-38.1528,485.6,1.4,174.8,4.73,270.2,2.0,6.83,4.77,-6.4872,1,15,1,0,0,0,0,1,0,0,17,17
5ork,-33.509,-7.1381,9.2943,-4.7275,-36.0803,462.4,1.1,149.6,3.91,218.8,1.0,6.54,3.63,-4.9368,1,13,1,0,1,0,0,1,0,0,16,12
5os7,-44.3756,-67.8491,71.3667,-5.3713,-46.2293,550.8,1.2,198.6,5.26,299.2,2.0,7.25,3.69,-5.0184,1,16,1,0,0,0,0,1,0,0,18,19
5os8,-18.3785,-66.6416,65.6698,-2.9945,-22.3448,296.9,0.0,49.0,2.9,164.8,1.0,5.29,3.98,-5.4128,1,14,1,0,1,0,0,1,0,0,17,14
5osl,-21.1796,15.9738,-13.2608,-3.2381,-21.7047,281.4,0.5,47.0,2.6,145.4,1.0,5.2,3.43,-4.6648,1,13,1,1,0,0,0,1,0,0,16,13
5oss,-24.3857,-67.936,54.8316,-3.602,-41.0921,418.5,6.3,14.0,0.0,9.0,1.0,5.57,4.55,-6.188,0,8,2,4,0,0,0,0,0,0,14,12
5ost,-26.0549,-83.2343,62.4048,-4.126,-51.0104,434.8,4.6,6.9,0.0,7.0,1.0,5.48,4.56,-6.2016,0,8,2,4,0,0,0,0,0,0,14,12
5otr,-36.9479,-80.8014,84.3484,-4.5398,-37.9407,448.4,1.5,133.3,4.57,253.1,1.0,6.6,4.92,-6.6912,1,13,1,0,0,0,0,2,0,0,16,12
5otz,-42.8786,-77.5442,84.5386,-5.1665,-41.0507,516.3,1.5,164.7,5.06,293.3,2.0,6.99,5.19,-7.0584,1,15,1,0,0,0,0,2,0,0,18,16
5ov8,-46.1138,-10.5704,28.6521,-5.2995,-33.3316,518.6,0.9,66.7,3.86,121.4,3.0,6.2,4.74,-6.4464,0,24,4,4,0,0,1,0,0,0,33,30
5owl,-43.8527,-22.5482,42.6673,-4.8084,-28.542,405.0,0.0,58.6,3.71,194.6,3.0,5.73,5.92,-8.0512,1,10,3,0,0,0,0,0,4,0,17,10
5uc4,-42.398,-39.6073,39.401,-5.1534,-47.7577,523.0,2.7,103.9,3.88,214.8,1.0,6.76,6.46,-8.7856,0,19,1,3,0,0,0,0,0,0,23,17
5ucj,-43.3127,-42.9038,41.993,-5.2014,-49.4249,569.0,2.0,92.4,3.25,174.8,1.0,6.72,6.36,-8.6496,0,19,2,3,1,0,0,0,0,0,25,15
5umx,-45.6026,-29.8258,44.9178,-4.6445,-35.1551,584.3,1.4,48.7,1.27,120.6,5.0,5.94,5.96,-8.1056,0,17,4,6,0,0,0,0,0,0,27,20
5umy,-57.9057,-22.664,38.7988,-5.9096,-47.6805,804.9,1.9,156.0,4.49,201.0,2.0,7.96,6.97,-9.4792,0,27,1,8,0,0,0,0,0,0,36,23
5var,-26.2599,-255.3123,250.8578,-3.2864,-34.0008,366.8,1.0,115.2,1.96,138.4,3.0,5.52,4.09,-5.5624,1,16,1,1,0,0,0,0,0,0,18,24
5vja,-43.3669,-23.3488,43.5628,-5.1453,-28.2982,464.8,0.0,63.0,2.55,183.8,3.0,5.82,6.59,-8.9624,0,14,5,2,0,0,1,1,0,0,23,12
5vl2,-48.0159,-28.2623,27.3442,-5.0723,-54.0063,577.5,2.9,78.7,4.01,310.9,0.0,7.14,8.42,-11.4512,0,13,2,1,0,0,0,3,0,0,19,9
5vm0,-45.7418,-31.3707,31.4083,-4.9614,-50.6656,572.7,2.8,81.2,4.01,303.9,0.0,7.11,8.8,-11.968,0,13,2,1,0,0,0,3,0,0,19,9
5vyy,-48.4968,-38.7808,42.9279,-6.1286,-50.4783,598.1,2.0,124.4,3.24,183.6,6.0,6.53,6.21,-8.4456,0,20,2,4,0,0,0,1,0,0,27,19
5w44,-26.9686,-112.4959,142.0678,-4.4015,-1.7982,355.1,4.3,51.0,4.97,171.1,4.0,5.88,6.44,-8.7584,0,24,4,4,0,0,0,2,0,0,34,22
5wgp,-22.4011,-14.7721,23.6768,-3.1433,-16.6397,256.9,1.1,12.0,0.27,77.6,0.0,4.73,5.62,-7.6432,0,4,1,4,0,0,1,0,0,0,10,5
5xmx,-62.7819,-103.4331,109.4121,-8.8408,-65.6437,795.4,2.0,205.6,4.64,332.8,8.0,7.78,7.24,-9.8464,-1,26,1,5,0,0,0,0,0,0,32,26
5xo7,-55.3308,-38.3576,44.1426,-6.4649,-56.0107,683.6,2.2,134.0,4.19,257.4,0.0,7.63,6.36,-8.6496,0,18,0,5,0,0,0,0,0,0,23,24
5xpi,-25.6886,-218.152,225.6901,-3.557,-21.7075,293.9,0.0,53.2,1.71,153.6,7.0,4.63,5.28,-7.1808,1,18,5,2,0,0,1,0,0,0,26,26
5xsr,-46.7749,-113.33,123.3067,-4.9044,-41.7026,571.4,4.0,58.4,0.4,120.3,0.0,6.42,7.69,-10.4584,1,15,4,1,1,0,1,0,0,0,22,14
5xva,-45.4016,-180.4795,181.9959,-5.7266,-49.6118,575.6,2.4,46.0,2.9,227.6,0.0,6.74,7.29,-9.9144,1,18,7,1,0,0,0,1,0,0,27,21
5xvg,-54.4833,-200.4163,205.3475,-6.8254,-56.3775,641.2,1.8,71.8,3.69,259.5,1.0,7.11,8.05,-10.948,1,20,7,1,0,0,0,1,0,0,29,25
5y12,-39.2243,-118.7567,124.6527,-5.8992,-39.2275,500.6,2.4,94.4,2.99,174.3,7.0,5.95,6.23,-8.4728,-1,16,1,5,0,0,1,0,0,0,23,18
5y13,-37.6562,-125.2282,124.9228,-5.5559,-43.5175,467.7,2.3,104.9,3.83,236.7,6.0,6.12,5.94,-8.0784,-1,15,1,4,0,0,1,0,1,0,22,15
5y8y,-37.8681,-19.5631,33.4412,-4.5062,-28.4962,397.9,0.9,71.4,3.09,193.8,3.0,5.73,7.09,-9.6424,0,16,2,5,0,0,1,0,1,0,25,15
5y94,-36.7214,-19.4534,35.051,-4.5555,-25.6793,390.7,1.0,70.8,3.09,195.0,2.0,5.79,6.79,-9.2344,0,16,3,4,0,0,1,0,1,0,25,16
5ya5,-52.413,-23.082,34.1373,-5.5612,-46.9189,631.5,2.6,105.4,2.04,244.8,3.0,6.83,6.72,-9.1392,0,19,5,1,0,0,1,0,0,0,26,15
5yh8,-8.9616,-706.8558,564.2748,-5.2979,-156.8405,554.3,7.4,42.6,0.89,113.3,9.0,5.87,6.78,-9.2208,-1,13,4,6,0,0,0,0,0,0,23,19
5yhe,-14.0384,-743.5807,629.29,-5.0103,-133.3394,529.8,6.6,42.5,0.89,120.3,9.0,5.73,6.69,-9.0984,-1,13,4,6,0,0,0,0,0,0,23,19
5yhg,-11.1747,-652.6164,529.1274,-5.0602,-139.7239,568.0,7.5,41.7,0.89,113.5,9.0,5.93,6.02,-8.1872,-1,13,4,6,0,0,0,0,0,0,23,19
5yj8,-28.1949,-168.2809,175.0304,-2.8705,-24.3159,319.5,0.8,39.1,1.31,47.0,1.0,5.05,3.98,-5.4128,1,10,3,1,0,0,0,0,0,0,14,14
5yl2,-59.1177,-31.8182,41.1294,-7.1522,-56.9587,727.3,1.2,121.2,4.5,255.5,2.0,7.57,4.5,-6.12,0,22,0,5,0,0,0,0,0,0,27,22
5z5f,-12.1896,-94.8021,62.3298,-3.5317,-48.1936,306.9,5.7,0.0,0.0,0.0,1.0,5.02,2.17,-2.9512,0,5,0,5,0,0,0,0,0,0,10,10
5z7b,-23.3041,-181.793,165.298,-3.832,-43.6311,390.2,3.7,36.8,1.31,59.9,1.0,5.56,4.89,-6.6504,-1,8,0,4,0,0,0,0,0,0,12,7
5z7j,-53.5407,-22.2812,35.1008,-6.2122,-46.9333,639.0,1.6,117.6,4.19,247.7,0.0,7.35,6.6,-8.976,0,18,0,5,0,0,0,0,0,0,23,24
5z99,-42.0665,-70.7829,68.4639,-6.148,-50.5335,554.8,6.8,23.0,0.62,109.1,5.0,6.06,6.88,-9.3568,-1,11,1,9,0,0,0,0,0,0,21,18
5za7,-38.7923,-82.053,84.1571,-4.1157,-40.8039,478.1,5.1,7.0,1.02,82.6,0.0,6.01,5.87,-7.9832,1,12,7,1,0,0,0,1,0,0,21,19
5za8,-43.1055,-89.3267,92.4534,-4.4142,-44.393,521.7,4.5,8.0,0.73,47.4,0.0,6.06,6.29,-8.5544,1,16,9,1,0,0,0,0,0,0,26,24
5za9,-43.1745,-90.5318,94.3438,-4.6051,-43.9676,551.1,3.6,20.4,0.63,114.2,0.0,6.22,6.74,-9.1664,1,20,7,2,0,0,0,0,0,0,29,24
5zae,-41.423,-82.2485,84.8076,-4.2471,-43.111,537.7,4.6,13.9,1.35,87.6,0.0,6.28,6.81,-9.2616,1,16,7,2,0,0,0,0,0,0,25,22
5zaf,-38.3198,-71.0673,75.0138,-3.8003,-38.1736,514.8,4.6,10.9,1.07,54.4,0.0,6.1,6.78,-9.2208,1,16,7,2,0,0,0,0,0,0,25,22
5zag,-40.1634,-94.2397,96.6307,-4.2268,-41.9992,529.3,4.4,8.2,1.07,37.3,0.0,6.11,6.97,-9.4792,1,16,9,1,0,0,0,0,0,0,26,22
5zaj,-49.0138,-98.442,99.3596,-5.017,-53.1132,593.7,4.0,6.9,0.72,50.3,2.0,6.14,7.38,-10.0368,1,18,9,3,0,0,0,0,0,0,30,26
5zc5,-50.5241,-85.2077,88.4483,-5.1329,-52.4164,612.7,4.1,18.5,1.01,116.5,0.0,6.55,7.06,-9.6016,1,20,7,2,1,0,0,0,0,0,30,23
5zkc,-52.3631,-38.8758,49.4533,-5.9814,-47.767,661.8,1.5,90.4,2.7,162.8,4.0,6.71,8.19,-11.1384,1,18,1,4,0,0,0,0,0,0,23,24
5zo8,-52.4825,-63.0098,71.1829,-6.7838,-51.0932,676.6,2.0,137.3,4.59,253.7,6.5,7.11,8.2,-11.152,0,23,1,3,0,0,1,0,0,0,28,23
6aqs,-41.2982,-242.4097,237.4681,-4.9383,-51.1781,494.4,2.2,11.4,0.0,10.2,3.0,5.39,7.55,-10.268,2,12,5,3,0,0,0,0,0,0,20,19
6ayo,-48.5812,-430.6869,410.6045,-5.2508,-73.9144,640.7,4.9,88.8,1.38,113.7,4.0,6.64,8.29,-11.2744,1,14,5,1,0,0,0,0,0,0,20,22
6ayq,-47.6889,-431.5912,411.6726,-5.1976,-72.8051,648.4,4.9,47.0,0.4,41.8,4.0,6.33,8.19,-11.1384,1,13,5,1,0,0,1,0,0,0,20,20
6ayr,-58.2025,-421.5317,404.0328,-6.1176,-81.819,715.8,4.4,94.1,1.64,144.6,7.0,6.75,8.39,-11.4104,1,16,5,1,0,0,1,0,0,0,23,26
6b1k,-43.6426,-68.1349,67.4817,-4.5956,-48.8914,584.0,4.7,89.3,2.45,156.1,0.0,6.93,6.67,-9.0712,0,17,5,2,0,0,0,0,0,0,24,13
6b4d,-30.5332,-90.861,115.6289,-3.741,-9.5063,337.0,1.3,44.4,2.32,118.3,1.0,5.4,6.11,-8.3096,-1,15,3,2,0,0,0,0,0,0,20,14
6b59,-21.5815,-145.2585,104.4346,-5.3699,-67.7753,447.9,2.0,40.1,1.31,85.6,6.0,5.3,8.09,-11.0024,0,15,7,3,0,0,1,0,0,0,26,17
6bbx,-65.5378,-32.0596,49.8058,-7.2882,-55.0798,774.3,1.1,116.7,3.29,157.4,4.0,7.28,6.67,-9.0712,0,29,1,11,0,0,0,0,0,0,41,21
